id;name;number_of_reviews;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;reviews_per_month
6859421;Nice room great view central;66;29/05/2018;88;10;10;9;9;10;9;0;93
6861360;BIG BEDROOM ,WIFI, B&B, CENTER, AWESOME.;192;17/03/2020;94;10;9;10;10;10;9;0;278
6864659;Precioso y tranquilo zona Pinar Chamartín;93;08/04/2021;94;10;10;10;10;9;9;0;135
6867439;Apartment in very centre of Madrid;1;29/07/2015;100;10;10;10;10;10;10;0;1
6868882;Lux Chamberí/Malasaña 1-4 per;10;12/07/2018;92;9;10;10;10;9;9;0;14
6872550;Madrid Rent 5;25;09/12/2019;95;10;9;10;10;9;9;1;36
6875270;Lovely room in Lavapies, Madrid.;0;01/12/1999;0;0;0;0;0;0;0;0;0
6877467;Newly refurbished apartment;53;23/07/2020;98;10;10;10;10;10;10;0;75
6881737;nice double  bedroom;137;13/03/2020;98;10;10;10;10;10;10;0;281
6883742;HABITACION DOBLE CHIC EN EL RETIRO-Oferta Abril;1;03/06/2019;100;10;10;2;10;10;10;0;4
6885070;Acogedor piso para dos;9;24/08/2015;96;10;10;9;10;8;9;0;13
6885289;Designer Studio - Heart of Madrid;4;08/07/2019;100;10;9;10;10;10;9;1;6
6888338;Ático en Avenida de América;0;01/12/1999;0;0;0;0;0;0;0;0;0
6890860;Loft en el Madrid de los Austrias;0;01/12/1999;0;0;0;0;0;0;0;1;0
6891783;Precioso estudio en Concha Espina;1;16/07/2016;100;10;10;10;10;10;10;1;2
6893111;Apartamento en el corazón de Madrid;83;08/03/2020;92;9;9;10;9;10;9;0;122
6895009;Habitacion privada con baño privado;0;01/12/1999;0;0;0;0;0;0;0;0;0
6899113;Habitación en Vallehermoso;0;01/12/1999;0;0;0;0;0;0;0;0;0
6899991;Estudio moderno y equipado;5;27/09/2015;76;8;6;9;9;10;7;0;7
6906361;ATOCHA/JERÓNIMOS/Pº del PRADO;0;01/12/1999;0;0;0;0;0;0;0;0;0
6910173;Habitación por vacaciones !!!;1;13/07/2015;100;10;10;10;10;10;8;0;1
6910714;apartamento de diseño en Malasaña;4;26/08/2020;100;10;10;10;10;10;10;0;47
6915384;Studio Downtown Madrid-Lavapies 1;96;19/12/2020;92;10;10;10;10;9;9;1;136
6919021;Madrid Las Rosas - Nice Apartment Close To Metro;3;15/09/2019;73;10;6;10;10;10;10;0;7
6919034;Bonita casa en Lavapies;0;01/12/1999;0;0;0;0;0;0;0;0;0
6921005;Habitación doble cómoda;19;27/07/2019;92;9;9;10;10;10;9;0;27
6922694;Beautiful Room w Private Terrace;0;01/12/1999;0;0;0;0;0;0;0;0;0
6925759;Acogedor apartamento en Madrid Rio;13;21/04/2019;93;9;10;10;10;9;9;0;2
6925889;Romantic studio with big terrace;146;07/04/2021;88;9;9;9;9;9;8;0;207
6932077;Apartamento La Latina - Centro;2;25/06/2017;100;10;10;10;10;10;9;0;3
6933109;Acogedor estudio en MADRID-wifi;225;06/01/2021;95;10;10;9;10;9;9;0;325
6933317;Room/2 with BREAKFAST in the CENTRE;9;09/11/2015;93;10;9;10;10;10;9;0;13
6934536;CENTRE DoubleRm +ENSUITE Large apt!;0;01/12/1999;0;0;0;0;0;0;0;0;0
6935237;Calisto and Melibea (2-4 pax);15;27/02/2021;95;9;10;10;10;10;10;0;21
