name,latitude,longitude
Penthouse with terrace in Atocha,40.40339,-3.69393
Central Family Apartment with Carpark on Premises,40.39236,-3.69462
Double RoomWIFI near Atocha Station,40.39842,-3.6670
Best Deal BRIGHT PICASSO SUITE SOL,40.41682,-3.70233
Plaza Mayor big room with balcony,40.41568,-3.70486
Beautiful and well illuminated atti,40.41195,-3.6960
Cool apartment in trendy Chueca,40.42117,-3.69746
APARTMENT 5PAX GRAN VIA CENTRO PUERTA SOL MALASAÑA,40.42202,-3.7070
Stylish Apartments in Chueca by Allô Housing,40.42124,-3.69913
Best Deal GOYA SUITE Historic SOL,40.41884,-3.7020
esta habitacion ya no esta disponible,40.43355,-3.7130
Room in excellent location - centre,40.41697,-3.70949
Apartamento de diseño céntrico,40.39979,-3.69071
Madrid Central flat - Reina Sofía,40.40441,-3.69717
MADRID ATOCHA rail STATION Wifi A/C PARKING,40.39518,-3.69349
Beautiful vintage flat in La Latina,40.41239,-3.71197
Habitación con terraza en centro,40.40648,-3.70429
LARGE FLAT IN MADRID CITY CENTER FOR FAMILIES,40.42543,-3.7037
Central Double Room near Subway,40.39963,-3.69485
New Garden Themed Room near Metro,40.39848,-3.69692
ApartJ GranVia-PalacioReal- 2/4pax-fully equipped!,40.42239,-3.70986
Best Deal Chic VELAZQUEZ SUITE SOL,40.41688,-3.70384
Apart A Gran Via-Royal Palace- fully equipped!,40.42055,-3.71043
Designer Duplex in Malasaña,40.42703,-3.7041
Quiet flat in historical Chamberí (Ponzano area),40.43831,-3.69859
Alquiler Piso Madrid,40.44656,-3.66016
